image_url,diseases_name,website_link,search_letter
https://dermnetnz.org/assets/manualthumbnails/acne/acne-back/preview/141__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Acne affecting the back images,https://dermnetnz.org/topics/acne-affecting-the-back-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/Screen-Shot-2018-01-25-at-8__FocusFillWzE1MCwxMTAsIngiLDFd.28.37-PM.png,Acne affecting the face images,https://dermnetnz.org/topics/acne-face-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/ocular-rosacea-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Acne and other follicular disorder images,https://dermnetnz.org/image-catalogue/acne-and-other-follicular-disorder-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/scaly/lp-pigmentosus1__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Acquired dermal macular hyperpigmentation images,https://dermnetnz.org/topics/acquired-dermal-macular-hyperpigmentation-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/20160516-165503__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,Acral lentiginous melanoma images,https://dermnetnz.org/topics/acral-lentiginous-melanoma-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/248__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Actinic keratosis affecting the face images,https://dermnetnz.org/topics/actinic-keratosis-face-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/393__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Actinic keratosis affecting the hand images,https://dermnetnz.org/topics/actinic-keratosis-affecting-the-hand-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/478__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Actinic keratosis affecting the legs and feet images,https://dermnetnz.org/topics/actinic-keratosis-leg-and-foot-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/418__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Actinic keratosis affecting the scalp images,https://dermnetnz.org/topics/actinic-keratosis-scalp-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/lesions/ak-face/actinic-keratosis-dermoscopy9__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Actinic keratosis dermoscopy images,https://dermnetnz.org/topics/actinic-keratosis-dermoscopy-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/sks-nose3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Actinic keratosis on the nose images,https://dermnetnz.org/topics/actinic-keratosis-on-the-nose-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/3723__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Actinic keratosis treated with imiquimod images,https://dermnetnz.org/topics/actinic-keratosis-imiquimod-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/adalimumab3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Adalimumab images,https://dermnetnz.org/topics/adalimumab-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/1323__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg,Alopecia areata images,https://dermnetnz.org/images/alopecia-areata-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/12a-amelanotic-melanoma__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Amelanotic melanoma images,https://dermnetnz.org/images/amelanotic-melanoma-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/ain-1-s-1__FocusFillWzE1MCwxMTAsInkiLDEzXQ.jpg,Anal cancer images,https://dermnetnz.org/topics/anal-cancer-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/angiofibromas-19-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Angiofibromas images,https://dermnetnz.org/topics/angiofibromas-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/angiokeratoma-2__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,Angiokeratomas images,https://dermnetnz.org/topics/angiokeratoma-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/perleche13-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Angular cheilitis images,https://dermnetnz.org/images/angular-cheilitis-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/leishmaniasis2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Arthropod bites images,https://dermnetnz.org/image-catalogue/insect-mite-and-worm-bite-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Atopic dermatitis images,https://dermnetnz.org/images/atopic-dermatitis-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Atopic eczema images,https://dermnetnz.org/images/atopic-dermatitis-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/flexural-eczema10-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg,Atopic flexural eczema images,https://dermnetnz.org/topics/atopic-flexural-eczema-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Atypical melanocytic naevus,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/m-marinum-2-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Atypical mycobacterial infection images,https://dermnetnz.org/topics/atypical-mycobacterial-infection-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Atypical naevus images,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/1323__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg,Autoimmune alopecia images,https://dermnetnz.org/images/alopecia-areata-images/?stage=Live,A
https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,B-K mole images,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,BCC affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,BCC affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,BCC affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,BCC affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,BCC affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Bacteria images,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Bacterial skin infection images,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/balanitis4-s-1__FocusFillWzE1MCwxMTAsInkiLDIzXQ.jpg,Balanitis images,https://dermnetnz.org/topics/balanitis-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Basal cell carcinoma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell carcinoma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell carcinoma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell carcinoma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Basal cell carcinoma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Basal cell epithelioma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell epithelioma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell epithelioma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basal cell epithelioma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Basal cell epithelioma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0692__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Basalioma affecting the ear images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-ear-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0633__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basalioma affecting the eyelid images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-eyelid-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basalioma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Basalioma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Basalioma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,B
https://dermnetnz.org/assets/collection/Behcet-disease/behcet-disease-00033__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Behcet disease images,https://dermnetnz.org/images/behcet-disease-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Besnier prurigo images,https://dermnetnz.org/images/atopic-dermatitis-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/bp2__FocusFillWzE1MCwxMTAsIngiLDIzXQ.jpg,Bowenoid papulosis images,https://dermnetnz.org/topics/bowenoid-papulosis-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/3362__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Bullous pemphigoid images,https://dermnetnz.org/topics/bullous-pemphigoid-images/?stage=Live,B
https://dermnetnz.org/assets/Uploads/covid-8__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,COVID-19 images,https://dermnetnz.org/topics/covid-19-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,"Candida affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/1272__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Candida albicans affecting the nail images,https://dermnetnz.org/topics/candida-albicans-affecting-the-nail-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/1292__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Candida intertrigo images,https://dermnetnz.org/topics/candida-intertrigo-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/1265-small2__FocusFillWzE1MCwxMTAsInkiLDYzXQ.jpg,Candida vulvovaginitis images,https://dermnetnz.org/topics/candida-vulvovaginitis-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,"Candidiasis affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,"Candidosis affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg,Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/1317__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Cherry angioma images,https://dermnetnz.org/topics/cherry-angioma-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/dscn5640__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Chronic plaque psoriasis images,https://dermnetnz.org/topics/chronic-plaque-psoriasis-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Clark nevus images,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/clavus11-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Clavus images,https://dermnetnz.org/topics/corn-clavus-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/keloid__FocusFillWzE1MCwxMTAsInkiLDBd.jpg,Conditions affecting the ear images,https://dermnetnz.org/topics/conditions-affecting-the-ear-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/2452__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Contact allergic dermatitis of the arm and leg images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-arm-and-leg-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/2443__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Contact allergic dermatitis of the face images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-face-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/eczalllehma__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Contact allergic dermatitis of the hand images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-hand-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/2484__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,Contact allergic dermatitis of the torso images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-torso-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/2512__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Contact irritant dermatitis images,https://dermnetnz.org/topics/contact-irritant-dermatitis-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/clavus11-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Corn images,https://dermnetnz.org/topics/corn-clavus-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/horn-03-s-1__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Cutaneous horn images,https://dermnetnz.org/topics/cutaneous-horn-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/lupus-facial-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Cutaneous lupus erythematosus images,https://dermnetnz.org/topics/cutaneous-lupus-erythematosus-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/papulonecrotic-tb1-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Cutaneous tuberculosis images,https://dermnetnz.org/topics/cutaneous-tuberculosis-images/?stage=Live,C
https://dermnetnz.org/assets/Uploads/2617-1__FocusFillWzE1MCwxMTAsInkiLDE2XQ.jpg,Cysts affecting the vulval area images,https://dermnetnz.org/?stage=Live,C
https://dermnetnz.org/assets/Uploads/lymphoma1-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Deep dermal disorder images,https://dermnetnz.org/image-catalogue/deep-dermal-disorder-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Dermatitis images,https://dermnetnz.org/images/atopic-dermatitis-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/2400__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Dermatofibroma images,https://dermnetnz.org/topics/dermatofibroma-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/dermatomyositis-eyelids-4__FocusFillWzE1MCwxMTAsIngiLDhd.jpg,Dermatomyositis images,https://dermnetnz.org/topics/dermatomyositis-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/dermographism04-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Dermographism images,https://dermnetnz.org/topics/dermographism-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/solar-lentigo9-s__FocusFillWzE1MCwxMTAsIngiLDVd.jpg,Dermoscopy course images,https://dermnetnz.org/image-catalogue/dermoscopy-course-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/myxoid3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Digital myxoid cyst images,https://dermnetnz.org/topics/digital-myxoid-cyst-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/nummular-eczema39-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg,Discoid eczema images,https://dermnetnz.org/images/discoid-eczema-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/eosinophilic-ulcer-s3__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Disease relating to site or age images,https://dermnetnz.org/image-catalogue/disease-relating-to-site-or-age-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/2646__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Dry skin images,https://dermnetnz.org/topics/dry-skin-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Dysplastic naevi images,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,D
https://dermnetnz.org/assets/Uploads/lesions/w/eccrine-poroma2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Eccrine poroma images,https://dermnetnz.org/topics/eccrine-poroma-images/?stage=Live,E
https://dermnetnz.org/assets/Uploads/ecthyma-3-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg,Ecthyma images,https://dermnetnz.org/topics/ecthyma-images/?stage=Live,E
https://dermnetnz.org/assets/Uploads/eczema-herpticum02-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Eczema herpeticum images,https://dermnetnz.org/topics/eczema-herpeticum-images/?stage=Live,E
https://dermnetnz.org/assets/Uploads/EDS-hypermobility-02__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Ehlers–Danlos syndrome images,https://dermnetnz.org/topics/ehlers-danlos-syndrome-images/?stage=Live,E
